# 平面叶栅叶片表面压力分布测量 — 数据记录表（U型管）,,,,,,,,
# U型管液体为水，读数单位为 mm 水柱（相对于大气压，正值=高于大气，负值=低于大气）,,,,,,,,
# 每个攻角下记录一次进口总压P_in_total和进口静压P_in_static（各面6点共用）,,,,,,,,
# 大气压P_atm用气压计单独读数，单位Pa,,,,,,,,
# 大气温度T_atm用温度计读数，单位°C,,,,,,,,
group,attack_angle,side,x_b,P_in_total,P_in_static,P_static,P_atm,T_atm
50Hz,0,suction,0.142857,380,-160,-760,95898,24.3
50Hz,0,suction,0.285714,380,-160,-600,95898,24.3
50Hz,0,suction,0.428571,380,-160,-355,95898,24.3
50Hz,0,suction,0.571429,380,-160,-180,95898,24.3
50Hz,0,suction,0.714286,380,-160,-130,95898,24.3
50Hz,0,suction,0.857143,380,-160,-80,95898,24.3
50Hz,0,pressure,0.142857,380,-160,50,95898,24.3
50Hz,0,pressure,0.285714,380,-160,30,95898,24.3
50Hz,0,pressure,0.428571,380,-160,30,95898,24.3
50Hz,0,pressure,0.571429,380,-160,30,95898,24.3
50Hz,0,pressure,0.714286,380,-160,-10,95898,24.3
50Hz,0,pressure,0.857143,380,-160,-20,95898,24.3
50Hz,-5,suction,0.142857,170,-100,-385,95898,24.3
50Hz,-5,suction,0.285714,170,-100,-330,95898,24.3
50Hz,-5,suction,0.428571,170,-100,-280,95898,24.3
50Hz,-5,suction,0.571429,170,-100,-200,95898,24.3
50Hz,-5,suction,0.714286,170,-100,-90,95898,24.3
50Hz,-5,suction,0.857143,170,-100,-60,95898,24.3
50Hz,-5,pressure,0.142857,170,-100,-20,95898,24.3
50Hz,-5,pressure,0.285714,170,-100,20,95898,24.3
50Hz,-5,pressure,0.428571,170,-100,30,95898,24.3
50Hz,-5,pressure,0.571429,170,-100,20,95898,24.3
50Hz,-5,pressure,0.714286,170,-100,0,95898,24.3
50Hz,-5,pressure,0.857143,170,-100,-10,95898,24.3
50Hz,5,suction,0.142857,280,-125,-460,95898,24.3
50Hz,5,suction,0.285714,280,-125,-220,95898,24.3
50Hz,5,suction,0.428571,280,-125,-95,95898,24.3
50Hz,5,suction,0.571429,280,-125,-120,95898,24.3
50Hz,5,suction,0.714286,280,-125,-95,95898,24.3
50Hz,5,suction,0.857143,280,-125,-100,95898,24.3
50Hz,5,pressure,0.142857,280,-125,60,95898,24.3
50Hz,5,pressure,0.285714,280,-125,50,95898,24.3
50Hz,5,pressure,0.428571,280,-125,40,95898,24.3
50Hz,5,pressure,0.571429,280,-125,20,95898,24.3
50Hz,5,pressure,0.714286,280,-125,-5,95898,24.3
50Hz,5,pressure,0.857143,280,-125,-10,95898,24.3
45.05Hz,0,suction,0.142857,265,-110,-550,95898,24.3
45.05Hz,0,suction,0.285714,265,-110,-480,95898,24.3
45.05Hz,0,suction,0.428571,265,-110,-170,95898,24.3
45.05Hz,0,suction,0.571429,265,-110,-135,95898,24.3
45.05Hz,0,suction,0.714286,265,-110,-75,95898,24.3
45.05Hz,0,suction,0.857143,265,-110,-30,95898,24.3
45.05Hz,0,pressure,0.142857,265,-110,0,95898,24.3
45.05Hz,0,pressure,0.285714,265,-110,10,95898,24.3
45.05Hz,0,pressure,0.428571,265,-110,20,95898,24.3
45.05Hz,0,pressure,0.571429,265,-110,20,95898,24.3
45.05Hz,0,pressure,0.714286,265,-110,15,95898,24.3
45.05Hz,0,pressure,0.857143,265,-110,5,95898,24.3
45.05Hz,-5,suction,0.142857,240,-95,-470,95898,24.3
45.05Hz,-5,suction,0.285714,240,-95,-405,95898,24.3
45.05Hz,-5,suction,0.428571,240,-95,-230,95898,24.3
45.05Hz,-5,suction,0.571429,240,-95,-160,95898,24.3
45.05Hz,-5,suction,0.714286,240,-95,-80,95898,24.3
45.05Hz,-5,suction,0.857143,240,-95,-40,95898,24.3
45.05Hz,-5,pressure,0.142857,240,-95,-40,95898,24.3
45.05Hz,-5,pressure,0.285714,240,-95,-5,95898,24.3
45.05Hz,-5,pressure,0.428571,240,-95,10,95898,24.3
45.05Hz,-5,pressure,0.571429,240,-95,10,95898,24.3
45.05Hz,-5,pressure,0.714286,240,-95,10,95898,24.3
45.05Hz,-5,pressure,0.857143,240,-95,5,95898,24.3
45.05Hz,5,suction,0.142857,250,-75,-375,95898,24.3
45.05Hz,5,suction,0.285714,250,-75,-210,95898,24.3
45.05Hz,5,suction,0.428571,250,-75,-90,95898,24.3
45.05Hz,5,suction,0.571429,250,-75,-95,95898,24.3
45.05Hz,5,suction,0.714286,250,-75,-70,95898,24.3
45.05Hz,5,suction,0.857143,250,-75,-60,95898,24.3
45.05Hz,5,pressure,0.142857,250,-75,45,95898,24.3
45.05Hz,5,pressure,0.285714,250,-75,35,95898,24.3
45.05Hz,5,pressure,0.428571,250,-75,30,95898,24.3
45.05Hz,5,pressure,0.571429,250,-75,15,95898,24.3
45.05Hz,5,pressure,0.714286,250,-75,10,95898,24.3
45.05Hz,5,pressure,0.857143,250,-75,-5,95898,24.3
