# 平面叶栅尾迹损失实验 — 数据记录表,,,
# 攻角固定为 0°，沿导轨2（X方向）扫描叶栅出口尾迹,,,
# P2* 为三孔探针对准后孔2读数（表压 Pa），P_atm 为大气压，P_in 为进口静压（表压 Pa）,,,
# 两组电机频率共用一个进口条件,,,
电机频率(Hz),X(cm),P2_star(Pa),P_atm(Pa)
50,20.2,230,95898
50,20,240,95898
50,19.8,245,95898
50,19.6,250,95898
50,19.4,240,95898
50,19.2,90,95898
50,19,80,95898
50,18.8,110,95898
50,18.6,210,95898
50,18.4,240,95898
50,18.2,250,95898
50,18,260,95898
50,17.8,210,95898
50,17.6,210,95898
50,17.4,210,95898
50,17.2,215,95898
50,17,220,95898
45.05,15.2,220,95898
45.05,15,210,95898
45.05,14.8,210,95898
45.05,14.6,210,95898
45.05,14.4,210,95898
45.05,14.2,80,95898
45.05,14,70,95898
45.05,13.8,120,95898
45.05,13.6,200,95898
45.05,13.4,210,95898
45.05,13.2,220,95898
45.05,13,220,95898
45.05,12.8,220,95898
45.05,12.6,220,95898
45.05,12.4,220,95898
45.05,12.2,220,95898
